times,incidence,incidenceXagegroup_0,incidenceXagegroup_5,incidenceXagegroup_10,incidenceXagegroup_15,incidenceXagegroup_20,incidenceXagegroup_25,incidenceXagegroup_30,incidenceXagegroup_35,incidenceXagegroup_40,incidenceXagegroup_45,incidenceXagegroup_50,incidenceXagegroup_55,incidenceXagegroup_60,incidenceXagegroup_65,incidenceXagegroup_70,incidenceXagegroup_75,infection_deathsXagegroup_0,infection_deathsXagegroup_5,infection_deathsXagegroup_10,infection_deathsXagegroup_15,infection_deathsXagegroup_20,infection_deathsXagegroup_25,infection_deathsXagegroup_30,infection_deathsXagegroup_35,infection_deathsXagegroup_40,infection_deathsXagegroup_45,infection_deathsXagegroup_50,infection_deathsXagegroup_55,infection_deathsXagegroup_60,infection_deathsXagegroup_65,infection_deathsXagegroup_70,infection_deathsXagegroup_75
69.0,281870.6508570617,11013.88348440444,47798.58297033653,13350.07987736672,26916.327722346578,31212.058781392196,31677.574016528277,25631.82335625925,22525.588814963594,23301.730997652587,20412.670635418617,20943.307185754777,16439.16054272418,9755.642831336421,7367.017461555543,4465.859087877752,6441.810819623164,0.053182879456863334,0.0498670451120856,0.5746161955776437,1.2511156363222595,12.43010999353155,12.492619263983581,11.765052348807359,10.2730489372883,25.050114657204574,21.724364600986235,0.10486398975071974,0.08109737079027077,144.86786973432123,108.25241106343866,129.9192495480635,186.59978234313627
70.0,300829.6025174746,11876.276377116821,51261.60634350815,14393.617905905758,28466.737388617155,32925.15289188483,33494.09314488015,27329.431292487072,24055.198358867485,24868.802852371555,21839.70280991788,22375.40391061337,17629.724986763944,10525.527601012025,7967.122346271858,4839.3546595019925,6986.978545131806,0.0581430871832245,0.05459247430980335,0.628178193315701,1.3515733726827652,13.411002530486146,13.49805322048551,12.77935357658819,11.169421908276188,27.232899991415888,23.652054184012158,0.1139912695442556,0.08836127413383298,158.77638521211662,118.80073286938679,142.87494009285487,205.3046235753129
71.0,319759.5156673039,12763.610922863723,54769.93715378462,15466.880622321964,29960.80672486801,34557.55849102927,35242.401136303,29016.13977889093,25582.971130271282,26430.839884488138,23274.105759440194,23808.230770337115,18835.37167163839,11319.022061901695,8589.592948090656,5228.835743720003,7556.81330933037,0.06342661759535734,0.059642087519687206,0.6852331606585975,1.4554321478226575,14.421439321854288,14.537776435586883,13.84283899183578,12.11151935131148,29.526551626042657,25.685163794756225,0.12357976206872837,0.09603634133451737,173.68093451792348,130.13801681950625,156.86606066803762,225.52581622435923
72.0,338437.6280737487,13668.9481167219,58288.25199945361,16561.505384886237,31374.203020889,36080.89192772595,36893.77097447145,30670.299714164186,27090.32629057465,27968.44019761185,24699.664436022344,25224.7071431125,20043.749134698068,12130.19338228063,9230.466420083465,5632.200843602228,8148.465365261223,0.0690273070412793,0.06501375658233768,0.7457141587873984,1.5619296963154878,15.453359301913371,15.60420464896137,14.950600707071752,13.09545301546506,31.921525441664407,27.816853304018597,0.1335890913754411,0.1040997249128588,189.5861872760521,142.2760117914332,171.92419708759778,247.31445158377306
73.0,356592.7908845255,14583.380591481946,61772.49859726977,17666.509986595483,32678.46460672262,37462.429182755244,38414.674884477994,32265.620069401462,28554.466857747066,29457.879413514052,26096.399227899852,26603.93122434126,21239.486691829305,12951.36219574542,9884.488758497268,6046.590648639674,8758.025863777597,0.07493302975344758,0.07070002005247768,0.8094897092048295,1.67015613514622,16.49727411270561,16.688274929352765,16.096276776360675,14.116065505284526,34.40518697928253,30.037642905893538,0.14396598295414073,0.11251882049847386,206.4825268497243,155.2165656988831,188.07107394860347,270.7080975418851
74.0,373925.5547845497,15496.464286851999,65172.66911281731,18768.90477891694,33843.58027431089,38668.20903608343,39769.82534669033,33773.13286389321,29950.029885447926,30872.853703212146,27441.90827153591,27922.647133984472,22405.143928686804,13773.474601350015,10545.342893246598,6468.498512891496,9380.661217301598,0.08112373523710908,0.07668624608009827,0.8763400105299491,1.7790041855570449,17.541813347083355,17.778965699523923,17.271572939348573,15.1665049500036,36.960808899349146,32.334570797743446,0.1546398412178205,0.12124797125416524,224.34186826192695,168.94864757565296,205.3155693921519,295.72670146784867
75.0,390145.2172198331,16397.113173148933,68438.0942517074,19854.910073971114,34842.55533469909,39668.50731184747,40927.566534162266,35164.786788202015,31252.128049185063,32187.681748829054,28713.879748069703,29157.961654937626,23523.025752792175,14586.876021075579,11206.14760056043,6894.027132653912,10010.943451721152,0.087571530136028,0.082950564603322,0.9459590335804671,1.8872125530941017,18.574182537878787,18.86371885403515,18.46649622853861,16.238405121361065,39.56800075961257,34.691466375767185,0.1655246788611367,0.13022940019074672,243.11667350302753,183.4473283369939,223.65196130869492,322.3698844005169
76.0,404950.0199954884,17272.43224296289,71513.05189405003,20908.36157638554,35650.55061977179,40437.33251931796,41858.94624021151,36411.58934847451,32434.51858243598,33375.479040511585,29888.3409936714,30285.665628892995,24573.654423130858,15380.258363913621,11858.635756056941,7318.386477153036,10642.136340571498,0.09423798706835818,0.08946139869171936,1.017925580448865,1.9933237949412976,19.579778147950652,19.928006237559163,19.66880700274802,17.32139122573068,42.20149453577293,37.08786126308978,0.1765142281752491,0.13938920520795656,262.7329947373605,198.6689161846611,243.05514395698276,350.61040964483095
77.0,418103.62025011505,18111.455921905144,74352.14414558536,21915.57974432024,36249.91125631317,40956.94247546007,42543.47597285759,37491.033919793386,33476.5587249876,34415.20592939014,30946.119315648324,31286.626193726668,25541.156468150344,16143.97666572527,12495.629199775165,7737.349221340972,11268.237757012625,0.10108612458058486,0.0961875123604415,1.0918338354382187,2.096096160844119,20.546285232066797,20.959442110466853,20.867605801947807,18.406139928571,44.83860242629232,39.50510591155566,0.18751319745345432,0.14865951860782006,283.1151301522738,214.56624876781564,263.4915340364471,380.4074388910212
78.0,429328.9079814711,18899.98630719279,76899.71358305961,22859.18149775601,36622.442179684745,41209.94759399651,42960.134507356524,38377.2178542875,34354.15466247448,35282.45366522623,31864.27873064828,32138.295845866152,26406.07002585048,16865.526504236434,13107.62571644095,8145.210553776118,11881.034625334953,0.1080600045642304,0.1030804023262229,1.1670684570612564,2.193884235144584,21.457599176619855,21.94160868073447,22.047688462860894,19.479510971772466,47.44739120531812,41.916533200975955,0.19838754767421596,0.15794239344381075,304.1423843477237,231.06084543514768,284.8971108228186,411.67864025681786
