lga_id,lga_name,cluster_id,cluster_name,proportion
23810,Latrobe (C),6,Gippsland,0.8639
23810,Latrobe (C),7,Grampians,0.0002
23810,Latrobe (C),8,Hume,0.0005
23810,Latrobe (C),9,Loddon Mallee,0.0004
23940,Loddon (S),1,North Metro,0.0301
23940,Loddon (S),2,South & East Metro,0.0069
23940,Loddon (S),3,South Metro,0.0056
23940,Loddon (S),4,West Metro,0.0582
23940,Loddon (S),5,Barwon South West,0.0049
23940,Loddon (S),6,Gippsland,0.0013
23940,Loddon (S),7,Grampians,0.0438
23940,Loddon (S),8,Hume,0.0046
23940,Loddon (S),9,Loddon Mallee,0.8446
24130,Macedon Ranges (S),1,North Metro,0.1117
24130,Macedon Ranges (S),2,South & East Metro,0.0121
24130,Macedon Ranges (S),3,South Metro,0.0284
24130,Macedon Ranges (S),4,West Metro,0.503
24130,Macedon Ranges (S),5,Barwon South West,0.0044
24130,Macedon Ranges (S),6,Gippsland,0.0004
24130,Macedon Ranges (S),7,Grampians,0.2106
24130,Macedon Ranges (S),8,Hume,0.0166
24130,Macedon Ranges (S),9,Loddon Mallee,0.1129
24210,Manningham (C),1,North Metro,0.3761
24210,Manningham (C),2,South & East Metro,0.524
24210,Manningham (C),3,South Metro,0.0205
24210,Manningham (C),4,West Metro,0.0765
24210,Manningham (C),5,Barwon South West,0.001
24210,Manningham (C),6,Gippsland,0.0007
24210,Manningham (C),7,Grampians,0.0003
24210,Manningham (C),8,Hume,0.0006
24210,Manningham (C),9,Loddon Mallee,0.0003
24250,Mansfield (S),1,North Metro,0.0305
24250,Mansfield (S),2,South & East Metro,0.0355
24250,Mansfield (S),3,South Metro,0.0207
24250,Mansfield (S),4,West Metro,0.064
24250,Mansfield (S),5,Barwon South West,0.0013
24250,Mansfield (S),6,Gippsland,0.0016
24250,Mansfield (S),7,Grampians,0.0007
24250,Mansfield (S),8,Hume,0.8444
24250,Mansfield (S),9,Loddon Mallee,0.0013
24330,Maribyrnong (C),1,North Metro,0.0744
24330,Maribyrnong (C),2,South & East Metro,0.0088
24330,Maribyrnong (C),3,South Metro,0.0269
24330,Maribyrnong (C),4,West Metro,0.8854
24330,Maribyrnong (C),5,Barwon South West,0.0023
24330,Maribyrnong (C),6,Gippsland,0.0006
24330,Maribyrnong (C),7,Grampians,0.0006
24330,Maribyrnong (C),8,Hume,0.0007
24330,Maribyrnong (C),9,Loddon Mallee,0.0003
24410,Maroondah (C),1,North Metro,0.0666
24410,Maroondah (C),2,South & East Metro,0.8559
24410,Maroondah (C),3,South Metro,0.0224
24410,Maroondah (C),4,West Metro,0.051
24410,Maroondah (C),5,Barwon South West,0.0007
24410,Maroondah (C),6,Gippsland,0.0013
24410,Maroondah (C),7,Grampians,0.0003
24410,Maroondah (C),8,Hume,0.0012
24410,Maroondah (C),9,Loddon Mallee,0.0006
24600,Melbourne (C),1,North Metro,0.1753
24600,Melbourne (C),2,South & East Metro,0.019
24600,Melbourne (C),3,South Metro,0.1425
24600,Melbourne (C),4,West Metro,0.6575
24600,Melbourne (C),5,Barwon South West,0.0026
24600,Melbourne (C),6,Gippsland,0.0009
24600,Melbourne (C),7,Grampians,0.0008
24600,Melbourne (C),8,Hume,0.0007
24600,Melbourne (C),9,Loddon Mallee,0.0006
24650,Melton (S),1,North Metro,0.0735
24650,Melton (S),2,South & East Metro,0.0084
24650,Melton (S),3,South Metro,0.0205
24650,Melton (S),4,West Metro,0.8801
24650,Melton (S),5,Barwon South West,0.003
24650,Melton (S),6,Gippsland,0.0003
24650,Melton (S),7,Grampians,0.0118
24650,Melton (S),8,Hume,0.0014
24650,Melton (S),9,Loddon Mallee,0.0011
24780,Mildura (RC),1,North Metro,0.0211
24780,Mildura (RC),2,South & East Metro,0.0051
24780,Mildura (RC),3,South Metro,0.0265
24780,Mildura (RC),4,West Metro,0.05
24780,Mildura (RC),5,Barwon South West,0.0011
24780,Mildura (RC),6,Gippsland,0.0001
24780,Mildura (RC),7,Grampians,0.0019
24780,Mildura (RC),8,Hume,0.0008
24780,Mildura (RC),9,Loddon Mallee,0.8934
24850,Mitchell (S),1,North Metro,0.5838
24850,Mitchell (S),2,South & East Metro,0.0074
24850,Mitchell (S),3,South Metro,0.016
24850,Mitchell (S),4,West Metro,0.1184
24850,Mitchell (S),5,Barwon South West,0.0014
24850,Mitchell (S),6,Gippsland,0.0004
24850,Mitchell (S),7,Grampians,0.0033
24850,Mitchell (S),8,Hume,0.26
24850,Mitchell (S),9,Loddon Mallee,0.0093
24900,Moira (S),1,North Metro,0.0419
24900,Moira (S),2,South & East Metro,0.0072
24900,Moira (S),3,South Metro,0.0121
24900,Moira (S),4,West Metro,0.0562
24900,Moira (S),5,Barwon South West,0.0011
24900,Moira (S),6,Gippsland,0.0004
24900,Moira (S),7,Grampians,0.0005
24900,Moira (S),8,Hume,0.8549
24900,Moira (S),9,Loddon Mallee,0.0258
24970,Monash (C),1,North Metro,0.0395
24970,Monash (C),2,South & East Metro,0.8432
24970,Monash (C),3,South Metro,0.0715
24970,Monash (C),4,West Metro,0.0435
24970,Monash (C),5,Barwon South West,0.0005
24970,Monash (C),6,Gippsland,0.001
24970,Monash (C),7,Grampians,0.0003
24970,Monash (C),8,Hume,0.0004
24970,Monash (C),9,Loddon Mallee,0.0002
25060,Moonee Valley (C),1,North Metro,0.1035
25060,Moonee Valley (C),2,South & East Metro,0.0063
25060,Moonee Valley (C),3,South Metro,0.0289
25060,Moonee Valley (C),4,West Metro,0.8562
25060,Moonee Valley (C),5,Barwon South West,0.0022
25060,Moonee Valley (C),6,Gippsland,0.0005
25060,Moonee Valley (C),7,Grampians,0.0005
25060,Moonee Valley (C),8,Hume,0.0005
25060,Moonee Valley (C),9,Loddon Mallee,0.0015
25150,Moorabool (S),1,North Metro,0.0402
25150,Moorabool (S),2,South & East Metro,0.0077
25150,Moorabool (S),3,South Metro,0.0213
25150,Moorabool (S),4,West Metro,0.5774
25150,Moorabool (S),5,Barwon South West,0.0357
25150,Moorabool (S),6,Gippsland,0.0013
25150,Moorabool (S),7,Grampians,0.3112
25150,Moorabool (S),8,Hume,0.0006
25150,Moorabool (S),9,Loddon Mallee,0.0045
25250,Moreland (C),1,North Metro,0.292
25250,Moreland (C),2,South & East Metro,0.0062
